Alpha,Beta,SumResidualSquare,Method
0.23,1.0E-11,23058.841218010737,4thOrderRungeKutta
0.3,1.0E-11,9896.468916146141,4thOrderRungeKutta
0.26,1.0E-11,15888.247538197418,4thOrderRungeKutta
0.22,1.0E-11,26200.54121923463,4thOrderRungeKutta
0.29,1.0E-11,11112.186653870582,4thOrderRungeKutta
0.31,1.0E-11,8829.269819151974,4thOrderRungeKutta
0.33,1.0E-11,7068.370256938942,4thOrderRungeKutta
0.251,1.0E-11,17738.001927844827,4thOrderRungeKutta
0.281,1.0E-11,12351.276086853371,4thOrderRungeKutta
0.211,1.0E-11,29441.61301753247,4thOrderRungeKutta
0.241,1.0E-11,20078.950427844735,4thOrderRungeKutta
0.34,1.0E-11,6344.821254113807,4thOrderRungeKutta
0.27,1.0E-11,14080.226220086024,4thOrderRungeKutta
0.2,1.0E-11,34030.43509388819,4thOrderRungeKutta
0.32,1.0E-11,7891.915299567322,4thOrderRungeKutta
0.35,1.0E-11,5709.331988002656,4thOrderRungeKutta
0.231,1.0E-11,22768.530180080736,4thOrderRungeKutta
0.331,1.0E-11,6991.726170693196,4thOrderRungeKutta
0.261,1.0E-11,15696.307450427916,4thOrderRungeKutta
0.291,1.0E-11,10983.33693310445,4thOrderRungeKutta
0.252,1.0E-11,17521.10717960365,4thOrderRungeKutta
0.341,1.0E-11,6277.49194981298,4thOrderRungeKutta
0.301,1.0E-11,9783.396618194365,4thOrderRungeKutta
0.221,1.0E-11,25865.780854509354,4thOrderRungeKutta
0.242,1.0E-11,19830.051196941713,4thOrderRungeKutta
0.28200000000000003,1.0E-11,12206.23676330517,4thOrderRungeKutta
0.212,1.0E-11,29060.18453152795,4thOrderRungeKutta
0.311,1.0E-11,8729.975119796052,4thOrderRungeKutta
0.201,1.0E-11,33581.59400756379,4thOrderRungeKutta
0.321,1.0E-11,7804.683463779634,4thOrderRungeKutta
0.271,1.0E-11,13912.392487481518,4thOrderRungeKutta
0.232,1.0E-11,22482.286120531608,4thOrderRungeKutta
0.351,1.0E-11,5650.215635994192,4thOrderRungeKutta
0.332,1.0E-11,6916.067798406078,4thOrderRungeKutta
0.253,1.0E-11,17307.15384356532,4thOrderRungeKutta
0.302,1.0E-11,9671.786970237426,4thOrderRungeKutta
0.202,1.0E-11,33139.41339418006,4thOrderRungeKutta
0.233,1.0E-11,22200.045262719188,4thOrderRungeKutta
0.28300000000000003,1.0E-11,12063.098589742074,4thOrderRungeKutta
0.243,1.0E-11,19584.577111426064,4thOrderRungeKutta
0.322,1.0E-11,7718.573177421389,4thOrderRungeKutta
0.213,1.0E-11,28684.28985194898,4thOrderRungeKutta
0.312,1.0E-11,8631.959588835172,4thOrderRungeKutta
0.272,1.0E-11,13746.78234240368,4thOrderRungeKutta
0.333,1.0E-11,6841.382619517845,4thOrderRungeKutta
0.262,1.0E-11,15506.939830520543,4thOrderRungeKutta
0.352,1.0E-11,5591.865774446397,4thOrderRungeKutta
0.254,1.0E-11,17096.09804254678,4thOrderRungeKutta
0.303,1.0E-11,9561.620326774795,4thOrderRungeKutta
0.203,1.0E-11,32703.78052651131,4thOrderRungeKutta
0.28400000000000003,1.0E-11,11921.835023742411,4thOrderRungeKutta
0.244,1.0E-11,19342.475866639063,4thOrderRungeKutta
0.234,1.0E-11,21921.74498346766,4thOrderRungeKutta
0.342,1.0E-11,6211.03093790281,4thOrderRungeKutta
0.323,1.0E-11,7633.569937356237,4thOrderRungeKutta
0.313,1.0E-11,8535.206374126563,4thOrderRungeKutta
0.273,1.0E-11,13583.364000781303,4thOrderRungeKutta
0.214,1.0E-11,28313.83796235343,4thOrderRungeKutta
0.353,1.0E-11,5534.272989132529,4thOrderRungeKutta
0.255,1.0E-11,16887.896653471093,4thOrderRungeKutta
0.334,1.0E-11,6767.658294113984,4thOrderRungeKutta
0.304,1.0E-11,9452.877344226541,4thOrderRungeKutta
0.20400000000000001,1.0E-11,32274.584876410194,4thOrderRungeKutta
0.28500000000000003,1.0E-11,11782.419948343133,4thOrderRungeKutta
0.292,1.0E-11,10856.164164478107,4thOrderRungeKutta
0.245,1.0E-11,19103.69607877353,4thOrderRungeKutta
0.222,1.0E-11,25535.794293840107,4thOrderRungeKutta
0.23500000000000001,1.0E-11,21647.323789422426,4thOrderRungeKutta
0.314,1.0E-11,8439.698877005569,4thOrderRungeKutta
0.263,1.0E-11,15320.107084114901,4thOrderRungeKutta
0.274,1.0E-11,13422.106200977889,4thOrderRungeKutta
0.354,1.0E-11,5477.427996353724,4thOrderRungeKutta
0.256,1.0E-11,16682.50729264287,4thOrderRungeKutta
0.324,1.0E-11,7549.659454048922,4thOrderRungeKutta
0.305,1.0E-11,9345.538975645717,4thOrderRungeKutta
0.20500000000000002,1.0E-11,31851.718066374655,4thOrderRungeKutta
0.28600000000000003,1.0E-11,11644.827664279155,4thOrderRungeKutta
0.246,1.0E-11,18868.187266464738,4thOrderRungeKutta
0.223,1.0E-11,25210.504795857938,4thOrderRungeKutta
0.23600000000000002,1.0E-11,21376.72129393096,4thOrderRungeKutta
0.343,1.0E-11,6145.427377043509,4thOrderRungeKutta
0.315,1.0E-11,8345.420747943355,4thOrderRungeKutta
0.215,1.0E-11,27948.739572633218,4thOrderRungeKutta
0.335,1.0E-11,6694.882659954172,4thOrderRungeKutta
0.355,1.0E-11,5421.321640878323,4thOrderRungeKutta
0.275,1.0E-11,13262.978194027372,4thOrderRungeKutta
0.264,1.0E-11,15135.772249345482,4thOrderRungeKutta
0.20600000000000002,1.0E-11,31435.073822280337,4thOrderRungeKutta
0.276,1.0E-11,13105.949734063464,4thOrderRungeKutta
0.306,1.0E-11,9239.586465539915,4thOrderRungeKutta
0.28700000000000003,1.0E-11,11509.032882376425,4thOrderRungeKutta
0.224,1.0E-11,24889.837042109335,4thOrderRungeKutta
0.325,1.0E-11,7466.8276479824835,4thOrderRungeKutta
0.247,1.0E-11,18635.899832803774,4thOrderRungeKutta
0.225,1.0E-11,24573.71710718113,4thOrderRungeKutta
0.277,1.0E-11,12950.99106895445,4thOrderRungeKutta
0.326,1.0E-11,7385.060646141946,4thOrderRungeKutta
0.23700000000000002,1.0E-11,21109.878194457586,4thOrderRungeKutta
0.257,1.0E-11,16479.88830134015,4thOrderRungeKutta
0.226,1.0E-11,24262.07242952089,4thOrderRungeKutta
0.34400000000000003,1.0E-11,6080.670579192911,4thOrderRungeKutta
0.327,1.0E-11,7304.344778564237,4thOrderRungeKutta
0.293,1.0E-11,10730.6453680995,4thOrderRungeKutta
0.278,1.0E-11,12798.07293113215,4thOrderRungeKutta
0.227,1.0E-11,23954.831782938018,4thOrderRungeKutta
0.307,1.0E-11,9135.001344788325,4thOrderRungeKutta
0.316,1.0E-11,8252.35588228611,4thOrderRungeKutta
0.328,1.0E-11,7224.666574956355,4thOrderRungeKutta
0.228,1.0E-11,23651.925248760723,4thOrderRungeKutta
0.265,1.0E-11,14953.89898474897,4thOrderRungeKutta
0.308,1.0E-11,9031.765425664926,4thOrderRungeKutta
0.317,1.0E-11,8160.488416078524,4thOrderRungeKutta
0.336,1.0E-11,6623.043729561715,4thOrderRungeKutta
0.279,1.0E-11,12647.166528611588,4thOrderRungeKutta
0.329,1.0E-11,7146.012761368345,4thOrderRungeKutta
0.356,1.0E-11,5365.944893919074,4thOrderRungeKutta
0.309,1.0E-11,8929.860796951349,4thOrderRungeKutta
0.318,1.0E-11,8069.802721965817,4thOrderRungeKutta
